Role	Absence Days	Absence detail	Absence Instances	Absence Type	Age	Area	Bradford Index	Ccy	Cost of termination	Country	Current Bonus	Current Employee	Current Salary	Customer Satisfaction	Date of birth	Department	Engagement index	Expenses	FTE	Full time/Part time/Contract	Gender	Grade	Healthcare costs	How recruited	id	Leave Date	parentid	Monthly cost Including payroll taxes	NI or Tax number	Other benefits	Other Unique Identifier	Payroll taxes	Pension	Performance Ranking	Personal Performance	Prior period performance ranking	Reason for leaving	Recruitment cost	Relocation costs	Role Start Date	Sales targets	Share based payments	Start Date	Successor	Team Engagement	Tenure Years	Total annual compensation	Total benefits	Total payroll cost	Training Cost	Training Day	Hours Worked Per Week	Revenue	Years to retirement	Email	Full Name	positiontitle	favourite_colour
Project Manager	10		5		64.61	Birmingham	250	GBP		UK	648	Y	56295	5.5	29/01/1948	R&D	05/01/1900	18000	1	Full time	Female	6	2000	Agency	1252		1237	7348	ED181044H	500		7915	2815	5.2		6.5		9300		20/05/2005		0	18/04/2007	No	7.08	5.51	70172	5315	56943			40	138845		Poppy.Burrows@test.com	Poppy Burrows	Developer	
Research Level 5	8		5		43.66	Birmingham	200	GBP		UK	10106	Y	65106		05/01/1969	R&D	06/01/1900	0	1	Full time	Male	6	2000	Internal	1275		1252	7522	HD396356H	0		10454	2604	4.3		3.225		0		25/02/1993		0	19/12/2008			3.83	90270	4604	75211			40	138845		Joseph.Valenza@test.com	Joseph Valenza	Developer	
Research Level 5	5		2		40.18	Birmingham	20	GBP		UK	11166	Y	66166		27/06/1972	R&D	07/01/1900	0	1	Full time	Female	6	2000	Advert	1298		1252	7727	GH439116C	0		10749	2647	7.9		6.237		500		26/12/1995		0	01/06/2011			1.38	92728	4647	77332			40	138845		Leah.Hutchinson@test.com	Leah Hutchinson	Developer	
Research Level 1	0		0		60.54	Birmingham	#VALUE!	GBP		UK	0	Y	33012		23/02/1952	R&D	07/01/1900	0	1	Full time	Male	2	750	Advert	1321		1252	3251	IG559149J	0		4589	660	6.9		5.175		500		20/03/1999		0	15/06/2007			5.35	39011	1410	33012			40	138845		Robert.Battle@test.com	Robert Battle	Developer	
Research Level 1	0		0		35.76	Birmingham	#VALUE!	GBP		UK	0	Y	30452		26/11/1976	R&D	06/01/1900	00/01/1900	1	Full time	Male	2	750	Advert	1349		1252	3004	HA682265G	0		4233	609	7.2		5.4		500		21/04/2005		0	06/03/2010			2.62	36044	1359	30452			40	138845		Leo.Stovall@test.com	Leo Stovall	Developer	
Research Level 3	5		2		62.66	Birmingham	20	GBP		UK	4975	Y	57314		11/01/1950	R&D	07/01/1900	0	1	Full time	Female	4	1500	Advert	1372		1252	6133	HC344225H	0		8658	1146	4.8		3.746		500		08/03/1996		0	11/06/2009			3.36	73594	2646	62290			40	138845		Courtney.Dean@test.com	Courtney Dean	Developer	
Research Level 5	0		0		64.52	Birmingham	#VALUE!	GBP		UK	16896	Y	71896		04/03/1948	R&D	07/01/1900	0	1	Full time	Female	6	2500	Internal	1395		1252	8876	FE845650D	0		12342	2876	6.9		6.9		0		07/07/2001		0	13/09/2009			3.1	106511	5376	88793			40	138845		Chloe.Nicholson@test.com	Chloe Nicholson	Developer	
Research Level 4	6		4		38.22	Birmingham	96	GBP		UK	7149	Y	64298		14/06/1974	R&D	06/01/1900	0	1	Full time	Male	5	1500	Agency	1418		1252	7067	BA605229A	0		9931	1929	5.2		3.926		11400		30/11/2003		0	09/02/2011			1.69	84807	3429	71447			40	138845		Sam.Alexander@test.com	Sam Alexander	Developer	
Research Level 3	5	Back pain	3	Sickness	41.6	Birmingham	45	GBP		UK	5783	Y	63372		26/01/1971	R&D	07/01/1900	0	1	Full time	Male	4	1500	Agency	1441		1252	6795	CG643854D	0		9613	1267	7.3		9.125		10500		17/10/1996		0	19/11/2007			4.92	81535	2767	69155			40	138845		Jamie.Marshall@test.com	Jamie Marshall	Developer	
Project Manager	5		2		49.16	Birmingham	20	GBP	9000	UK	6979	N	68959	6.4	07/07/1963	R&D	07/01/1900	17/09/1957	1	Full time	Male	6	1500	Agency	1253	20/11/2008	1237	9418	IC246348F	500		10555	3448	7.3		7.3	Redundancy	12300		14/09/1985		0	26/02/2008	Yes	7.2425	0.73	91941	5448	75938			40	138845		Harrison.Flynn@test.com	Harrison Flynn	Developer	
Research Level 1	7		4		42.3	Birmingham	112	GBP		UK	0	Y	28161		16/05/1970	R&D	07/01/1900	0	1	Full time	Female	2	750	Internal	1276		1253	2782	GC832232B	0		3914	563	5.6		5.6		0		13/10/1992		0	16/02/2007			5.67	33389	1313	28161			40	138845		Emma.Kirk@test.com	Emma Kirk	Developer	
Research Level 5	8		3		64.22	Birmingham	72	GBP		UK	11542	Y	66542		19/06/1948	R&D	05/01/1900	0	1	Full time	Female	6	2000	Advert	1299		1253	7800	GG684081J	0		10854	2662	4.5		3.375		500		08/06/1994		0	05/04/2010			2.54	93599	4662	78084			40	138845		Lily.Glover@test.com	Lily Glover	Developer	
Research Level 3	8		6		41.62	Birmingham	288	GBP		UK	4877	Y	56577		20/01/1971	R&D	07/01/1900	0	1	Full time	Male	4	1500	Advert	1322		1253	6052	BF530706E	0		8542	1132	5.5		4.125		500		15/07/2007		0	15/10/2008			4.01	72627	2632	61454			40	138845		Sanford.Woolf@test.com	Sanford Woolf	Developer	
Research Level 3	7		4		41.7	Birmingham	112	GBP		UK	5937	Y	64527		20/12/1970	R&D	07/01/1900	0	1	Full time	Male	4	1500	Agency	1350		1253	6921	BB26217B	0		9795	1291	6.1		6.1		7950		19/06/2010		0	26/02/2011			1.64	83050	2791	70464			40	138845		Evan.Connolly@test.com	Evan Connolly	Developer	
Research Level 4	0		0		46.24	Birmingham	#VALUE!	GBP		UK	6285	Y	62570		07/06/1966	R&D	08/01/1900	0	1	Full time	Female	5	1500	Advert	1373		1253	6817	JH231980H	0		9571	1877	6.2		6.2		500		01/03/1996		0	03/01/2008			4.79	81803	3377	68855			40	138845		Maya.Giles@test.com	Maya Giles	Developer	
Research Level 3	6		3		62.02	Birmingham	54	GBP		UK	5506	Y	61298		31/08/1950	R&D	07/01/1900	0	1	Full time	Male	4	1000	Advert	1396		1253	6526	GE594955D	0		9286	1226	7.2		7.2		500		25/09/1994		0	05/01/2008			4.79	78316	2226	66804			40	138845		Hayden.Davies@test.com	Hayden Davies	Developer	
Research Level 3	4		1		41.32	Birmingham	4	GBP		UK	5148	Y	58606		08/05/1971	R&D	08/01/1900	0	1	Full time	Male	4	1000	Agency	1419		1253	6232	BA889645A	0		8862	1172	8.8		6.6		10350		08/03/2004		0	01/06/2007			5.39	74788	2172	63754			40	138845		Robert.Vice@test.com	Robert Vice	Developer	
Research Level 1	0		0		60.41	Birmingham	#VALUE!	GBP		UK	0	Y	30355		10/04/1952	R&D	07/01/1900	0	1	Full time	Female	2	750	Agency	1442		1253	2994	DA150365C	0		4219	607	8		6		10200		15/12/1990		0	18/12/2010			1.84	35932	1357	30355			40	138845		Naomi.Leonard@test.com	Naomi Leonard	Developer	
Programme Manager	2		1		45.84	Birmingham	2	GBP		UK	24422	Y	118651	7.9	01/11/1966	R&D	08/01/1900	15000	1	Full time	Male	7	1000	Internal	1240		1235	15491	GF355561A	1000		19887	5933	9.1		6.825		0		20/08/1991		0	19/08/2011	No	6.77	1.17	170892	7933	143073			40	138845		Rich.Wheaton@test.com	Rich Wheaton	Developer	
Project Manager	5		1		64.01	Birmingham	5	GBP		UK	12463	N	79927	5.6	04/09/1948	R&D	06/01/1900	18000	1	Full time	Male	6	1500	Advert	1258	24/11/2009	1240	10769	DC15958A	500		12842	3996	4.5		5.456	Career Development	500		20/08/1991		0	30/12/2007	No	7.23	1.9	111229	5996	92390			40	138845		Harvey.Stokes@test.com	Harvey Stokes	Developer	
Research Level 4	6		2		43.53	Birmingham	24	GBP		UK	8364	Y	66727		23/02/1969	R&D	07/01/1900	0	1	Full time	Male	5	2000	Agency	1281		1258	7461	HJ315701G	0		10438	2002	5.3		5.3		4800		14/07/1994		0	29/12/2007			4.81	89530	4002	75091			40	138845		Hayden.Gough@test.com	Hayden Gough	Developer	
Research Level 3	5		2		62.96	Birmingham	20	GBP		UK	5429	Y	60715		24/09/1949	R&D	06/01/1900	0	1	Full time	Female	4	1500	Agency	1304		1258	6504	AG518620A	0		9194	1214	4.3		5.375		6600		13/05/2006		0	12/02/2011			1.68	78052	2714	66144			40	138845		Sheila.Etter@test.com	Sheila Etter	Developer	
Research Level 1	5		1		37.96	Birmingham	5	GBP		UK	0	Y	31729		17/09/1974	R&D	07/01/1900	0	1	Full time	Male	2	750	Internal	1327		1258	3127	CJ852768H	0		4410	635	5.7		5.7		0	0	05/08/1998		0	11/11/2011			0.94	37524	1385	31729			40	138845		Peter.Rios@test.com	Peter Rios	Developer	
Research Level 4	10		6		63	Birmingham	360	GBP	5500	UK	5138	N	60276		08/09/1949	R&D	07/01/1900	0	1	Full time	Male	5	2000	Internal	1355	19/10/2010	1258	6526	IC737592C	0		9093	1808	3.6		3.6	Redundancy	0		03/04/2006		0	12/09/2010			0.1	78315	3808	65414			40	138845		Nicholas.Baxter@test.com	Nicholas Baxter	Developer	
HR Manager	9		5		36.32	Head Office	225	GBP		UK	11091	Y	74576	4.9	06/05/1976	HR	07/01/1900	0	1	Full time	Male	5	2500	Internal	29		26	8464	CF936728E	0		11908	1492	5		3.75		0	0	18/12/2002		0	08/10/2010	Yes	6.73	2.03	101567	3992	85667			40	138739		Thomas.Richard@test.com	Thomas Richard	Developer	
HR Assistant	6		3		52.78	Head Office	54	GBP		UK	0	Y	52681		27/11/1959	HR	06/01/1900	0	1	Full time	Male	2	2000	Advert	38		29	5167	EC570141G	0		7323	0	4.6		5.75		500		04/06/1997		0	10/01/2009			3.77	62004	2000	52681			40	138739		Dane.Hill@test.com	Dane Hill	Developer	
HR Assistant	0	Flu	0	Sickness	55.16	Head Office	#VALUE!	GBP		UK	0	N	46832		08/07/1957	HR	05/01/1900	0	1	Full time	Female	2	2500	Agency	39	14/03/2010	29	4653	HA868898I	0		6510	0	8.8		8.8	Career Development	6150		16/08/2000		0	03/03/2011			3.03	55842	2500	46832			40	138739		Zoe.Francis@test.com	Zoe Francis	Developer	
HR Assistant	0		0		52.85	Head Office	#VALUE!	GBP		UK	0	Y	45550		01/11/1959	HR	06/01/1900	0	0.8	Part time	Male	2	1000	Agency	40		29	4407	HB935440H	0		6332	0	5.8		7.25		8250		11/09/1997		0	16/11/2009			2.92	52882	1000	45550			25	138739		Daniel.Moody@test.com	Daniel Moody	Developer	
HR Assistant	0		0		58.7	Head Office	#VALUE!	GBP		UK	0	Y	45311		25/12/1953	HR	08/01/1900	0	1	Full time	Female	2	750	Agency	41		29	4363	IH637109E	0		6298	0	6.7		5.605		7800		27/08/1991		0	16/10/2009			6.01	52359	750	45311			40	138739		Tasha.Allred@test.com	Tasha Allred	Developer	
Head of Recruitment	10		8		36.64	Head Office	640	GBP		UK	37494	Y	82134	5.6	13/01/1976	HR	07/01/1900	1800	1	Full time	Male	6	1000	Agency	42		26	11725	AE883512E	0		16628	1643	4.8		6		10650		07/09/2005		0	04/10/2008	Yes	7.028	4.04	138898	2643	119628			40	138739		Daniel.McGee@test.com	Daniel McGee	Developer	
Recruitment resource	10		5		57.05	Head Office	250	GBP		UK	45734	Y	47334		20/08/1955	HR	05/01/1900	0	1	Full time	Male	3	2000	Advert	43		42	9000	BE91658I	0		12936	0	4		5		500		29/04/2003		0	24/02/2012			0.65	108005	2000	93068			40	138739		Noah.Nash@test.com	Noah Nash	Developer	
Recruitment resource	5		1		32.66	Head Office	5	GBP		UK	15219	Y	28262		03/01/1980	HR	07/01/1900	0	1	Full time	Male	3	750	Advert	44		42	4189	DD649211G	0		6044	0	6		4.5		500		22/06/2010		0	24/07/2008			4.24	50274	750	43480			40	138739		Zachary.Matthews@test.com	Zachary Matthews	Developer	
Recruitment resource	6		4		29.82	Head Office	96	GBP		UK	44442	Y	46526		06/11/1982	HR	07/01/1900	0	1	Full time	Male	3	500	Advert	45		42	8676	IJ277889E	0		12645	0	8.3		10		500		04/02/2010		0	23/09/2008			4.07	104113	500	90968			40	138739		Johnny.Gomez@test.com	Johnny Gomez	Developer	
Recruitment resource	5		3		30.33	Head Office	45	GBP		UK	29244	Y	37028		04/05/1982	OrgVue R&D	07/01/1900	0	1	Full time	Male	3	2000	Advert	46		42	6457	AC950104G	0		9212	0	5.8		7.25		500		07/09/2010		0	21/01/2008			4.75	77484	2000	66272			40	138739		Scott.Knowles@test.com	Scott Knowles	Developer	
Secretary	0	Other	0	Sickness	56.73	Head Office	#VALUE!	GBP	5000	UK	0	N	32000		14/12/1955	OrgVue R&D	06/01/1900	0	1	Full time	Male	2	750	Advert	54	13/02/2011	42	3100	FC924399B	0		4448	0	6.3		4.725	Redundancy	500		09/08/1998		0	22/02/2007			3.98	37198	750	32000			40	138739		Bill.Ha@test.com	Bill Ha	Developer	
Head of Admin	5		3		34.13	Head Office	45	GBP		UK	0	Y	47000	6.5	17/07/1978	OrgVue Sale	06/01/1900	1800	1	Full time	Male	4	1000	Advert	47		26	4773	IB796296H	0		6533	940	6		7.5		500		18/02/2002		0	29/10/2007	No	7.6075	4.98	55473	1940	47000			40	138739		Mohammed.Sanderson@test.com	Mohammed Sanderson	Developer	
Admin Assistant	3	Asthma	1	Sickness	29.98	Head Office	3	GBP		UK	0	Y	23000		06/09/1982	OrgVue Product Team	07/01/1900	0	1	Full time	Male	2	2500	Agency	48		47	2391	HG17105I	0		3197	0	7		5.25		3450		17/05/2009		0	29/06/2012			0.3	28697	2500	23000			40	138739		Harvey.Morris@test.com	Harvey Morris	Developer	
Admin Assistant	6		2		28.25	Head Office	24	GBP		UK	0	Y	23000		31/05/1984	OrgVue Product Team	06/01/1900	0	1	Full time	Female	2	750	Agency	49		47	2246	BB477153E	0		3197	0	3.5		3.15		3450		08/06/2005		0	02/03/2008			4.63	26947	750	23000			40	138739		Donna.Lawrence@test.com	Donna Lawrence	Developer	
Admin Assistant	0		0		52.7	Head Office	#VALUE!	GBP		UK	0	Y	23000		24/12/1959	OrgVue Product Team	08/01/1900	0	1	Full time	Male	2	1500	Agency	50		47	2308	BC214780B	0		3197	0	7.2		9		3450		25/07/2005		0	04/04/2009			3.54	27697	1500	23000			40	138739		Bailey.Johnson@test.com	Bailey Johnson	Developer	
Secretary	6		3		55.54	Head Office	54	GBP		UK	0	Y	35000		20/02/1957	OrgVue FrontEnd	07/01/1900	0	0.8	Part time	Male	2	1500	Internal	57		47	3447	CH145435B	0		4865	0	6		7.5		0	0	20/03/1995		0	18/09/2008			4.08	41365	1500	35000			25	138739		Mohammad.Lamb@test.com	Mohammad Lamb	Developer	
Secretary	0		0		57.5	Head Office	#VALUE!	GBP		UK	0	Y	34000		10/03/1955	OrgVue FrontEnd	07/01/1900	0	1	Full time	Male	2	2500	Agency	51		26	3436	DH911504H	0		4726	0	7		7		5100		03/05/2003		0	06/05/2011			1.45	41226	2500	34000			40	138739		Bryan.Korn@test.com	Bryan Korn	Developer	
QA	0		0		57.5	Head Office	#VALUE!	GBP		UK	0	Y	34000		10/03/1955	OrgVue FrontEnd	07/01/1900	0	1	Full time	Male	2	2500	Agency	555		26	3436	DH911504H	0		4726	0	7		7		5100		03/05/2003		0	06/05/2011			1.45	41226	2500	34000			40	138739		mahamed.ali@concentra.co.uk	Mahamed Ali	QA	
QA	0		0		57.5	Head Office	#VALUE!	GBP		UK	0	Y	34000		10/03/1955	OrgVue FrontEnd	07/01/1900	0	1	Full time	Male	2	2500	Agency	555		26	3436	DH911504H	0		4726	0	7		7		5100		03/05/2003		0	06/05/2011			1.45	41226	2500	34000			40	138739		mahamed.ali@orgvue.com	Mahamed Ali2	QA	
